time,open,high,low,close,volume
2020-05-21 08:00:00,1.22360,1.22493,1.21852,1.22161,52692
2020-05-22 08:00:00,1.22150,1.22335,1.21613,1.21667,51656
2020-05-25 08:00:00,1.21716,1.22033,1.21628,1.21799,35930
2020-05-26 08:00:00,1.21795,1.23628,1.21765,1.23341,59540
2020-05-27 08:00:00,1.23247,1.23540,1.22040,1.22578,78677
2020-05-28 08:00:00,1.22596,1.23442,1.22335,1.23176,69580
2020-05-29 08:00:00,1.23145,1.23938,1.22900,1.23509,91364
2020-06-01 08:00:00,1.23231,1.25063,1.23231,1.24874,68129
2020-06-02 08:00:00,1.24864,1.25755,1.24782,1.25492,75153
2020-06-03 08:00:00,1.25486,1.26152,1.25434,1.25713,80318
2020-06-04 08:00:00,1.25712,1.26331,1.25005,1.25932,79214
2020-06-05 08:00:00,1.25947,1.27309,1.25827,1.26678,79793
2020-06-08 08:00:00,1.26690,1.27354,1.26278,1.27214,60121
2020-06-09 08:00:00,1.27218,1.27552,1.26175,1.27271,72125
2020-06-10 08:00:00,1.27301,1.28129,1.27058,1.27467,89342
2020-06-11 08:00:00,1.27452,1.27540,1.25861,1.26010,106433
2020-06-12 08:00:00,1.25990,1.26531,1.24735,1.25482,107536
2020-06-15 08:00:00,1.25094,1.26061,1.24540,1.26039,97262
2020-06-16 08:00:00,1.26043,1.26872,1.25521,1.25721,97769
2020-06-17 08:00:00,1.25720,1.25882,1.25108,1.25550,79626
2020-06-18 08:00:00,1.25535,1.25667,1.24012,1.24231,77475
2020-06-19 08:00:00,1.24233,1.24557,1.23437,1.23486,67081
2020-06-22 08:00:00,1.23410,1.24767,1.23350,1.24672,57113
2020-06-23 08:00:00,1.24666,1.25316,1.24317,1.25187,75438
2020-06-24 08:00:00,1.25178,1.25425,1.24139,1.24169,68408
2020-06-25 08:00:00,1.24166,1.24642,1.23885,1.24173,52017
2020-06-26 08:00:00,1.24170,1.24365,1.23140,1.23363,46146
2020-06-29 08:00:00,1.23231,1.23892,1.22509,1.22976,43305
2020-06-30 08:00:00,1.22976,1.24012,1.22573,1.24000,45476
2020-07-01 08:00:00,1.23991,1.24901,1.23589,1.24739,45853
2020-07-02 08:00:00,1.24726,1.25296,1.24559,1.24670,42752
2020-07-03 08:00:00,1.24652,1.24862,1.24373,1.24816,37015
2020-07-06 08:00:00,1.24604,1.25197,1.24600,1.24911,41218
2020-07-07 08:00:00,1.24899,1.25918,1.24625,1.25431,46857
2020-07-08 08:00:00,1.25388,1.26227,1.25081,1.26085,48464
2020-07-09 08:00:00,1.26092,1.26693,1.25923,1.26057,50443
2020-07-10 08:00:00,1.26053,1.26638,1.25663,1.26200,42285
2020-07-13 08:00:00,1.26159,1.26658,1.25500,1.25536,44807
2020-07-14 08:00:00,1.25531,1.25632,1.24797,1.25521,52031
2020-07-15 08:00:00,1.25514,1.26492,1.25466,1.25863,45666
2020-07-16 08:00:00,1.25863,1.26241,1.25194,1.25523,42717
2020-07-17 08:00:00,1.25519,1.25742,1.25114,1.25671,38739
2020-07-20 08:00:00,1.25444,1.26651,1.25178,1.26609,42824
2020-07-21 08:00:00,1.26609,1.27675,1.26500,1.27302,51261
2020-07-22 08:00:00,1.27303,1.27431,1.26438,1.27330,52449
2020-07-23 08:00:00,1.27321,1.27597,1.26730,1.27399,49232
2020-07-24 08:00:00,1.27389,1.28029,1.27169,1.27953,43990
2020-07-27 08:00:00,1.27903,1.29027,1.27773,1.28806,50389
2020-07-28 08:00:00,1.28796,1.29521,1.28378,1.29305,48102
2020-07-29 08:00:00,1.29297,1.30130,1.29117,1.29948,48284
2020-07-30 08:00:00,1.29944,1.31024,1.29443,1.30942,55615
2020-07-31 08:00:00,1.30933,1.31699,1.30700,1.30822,64544
2020-08-03 08:00:00,1.30751,1.31121,1.30044,1.30744,49534
2020-08-04 08:00:00,1.30751,1.31078,1.29808,1.30711,45509
2020-08-05 08:00:00,1.30701,1.31612,1.30538,1.31132,45731
2020-08-06 08:00:00,1.31124,1.31853,1.31110,1.31422,57801
2020-08-07 08:00:00,1.31404,1.31504,1.30090,1.30538,52997
2020-08-10 08:00:00,1.30590,1.31029,1.30185,1.30709,37274
2020-08-11 08:00:00,1.30705,1.31317,1.30413,1.30470,48075
2020-08-12 08:00:00,1.30498,1.30671,1.30047,1.30326,50391
2020-08-13 08:00:00,1.30315,1.31246,1.30245,1.30659,43025
2020-08-14 08:00:00,1.30654,1.31423,1.30479,1.30903,41452
2020-08-17 08:00:00,1.30831,1.31213,1.30737,1.31034,37064
2020-08-18 08:00:00,1.31019,1.32492,1.30950,1.32376,44985
2020-08-19 08:00:00,1.32367,1.32667,1.30935,1.30971,52283
2020-08-20 08:00:00,1.30968,1.32242,1.30643,1.32129,58861
2020-08-21 08:00:00,1.32130,1.32552,1.30588,1.30895,56611
2020-08-24 08:00:00,1.30820,1.31484,1.30535,1.30625,40942
2020-08-25 08:00:00,1.30614,1.31703,1.30550,1.31503,49544
2020-08-26 08:00:00,1.31493,1.32186,1.31168,1.32084,43677
2020-08-27 08:00:00,1.32082,1.32839,1.31607,1.31987,62066
2020-08-28 08:00:00,1.32011,1.33563,1.31859,1.33512,56687
2020-08-31 08:00:00,1.33448,1.33952,1.33014,1.33677,46789
2020-09-01 08:00:00,1.33670,1.34820,1.33559,1.33825,58853
2020-09-02 08:00:00,1.33824,1.34021,1.32830,1.33505,54241
2020-09-03 08:00:00,1.33502,1.33590,1.32419,1.32801,55896
2020-09-04 08:00:00,1.32802,1.33189,1.31755,1.32763,57417
2020-09-07 08:00:00,1.32570,1.32674,1.31402,1.31619,37329
2020-09-08 08:00:00,1.31618,1.31715,1.29795,1.29801,54797
2020-09-09 08:00:00,1.29821,1.30226,1.28846,1.30013,51520
2020-09-10 08:00:00,1.30017,1.30349,1.27725,1.28036,61751
2020-09-11 08:00:00,1.28035,1.28650,1.27620,1.27966,51416
2020-09-14 08:00:00,1.27805,1.29189,1.27744,1.28458,40210
2020-09-15 08:00:00,1.28445,1.29257,1.28146,1.28884,38272
2020-09-16 08:00:00,1.28882,1.30074,1.28747,1.29662,53304
2020-09-17 08:00:00,1.29681,1.29990,1.28643,1.29725,72146
2020-09-18 08:00:00,1.29729,1.29996,1.29140,1.29221,49955
2020-09-21 08:00:00,1.29275,1.29660,1.27750,1.28156,55388
2020-09-22 08:00:00,1.28167,1.28666,1.27107,1.27291,55748
2020-09-23 08:00:00,1.27297,1.27767,1.26748,1.27215,57296
2020-09-24 08:00:00,1.27221,1.27805,1.26902,1.27407,64597
2020-09-25 08:00:00,1.27407,1.28051,1.26870,1.27419,49349
2020-09-28 08:00:00,1.27622,1.29296,1.27508,1.28311,47024
2020-09-29 08:00:00,1.28316,1.29024,1.28223,1.28587,51005
2020-09-30 08:00:00,1.28602,1.29419,1.28051,1.29165,65681
2020-10-01 08:00:00,1.29170,1.29784,1.28185,1.28859,64828
2020-10-02 08:00:00,1.28924,1.29539,1.28360,1.29366,68874
2020-10-05 08:00:00,1.29255,1.29905,1.28992,1.29764,43189
2020-10-06 08:00:00,1.29767,1.30067,1.28664,1.28711,54072
2020-10-07 08:00:00,1.28712,1.29293,1.28442,1.29144,51294
2020-10-08 08:00:00,1.29134,1.29699,1.28906,1.29360,42978
2020-10-09 08:00:00,1.29357,1.30487,1.29203,1.30487,40878
2020-10-12 08:00:00,1.30245,1.30823,1.30051,1.30620,36161
2020-10-13 08:00:00,1.30637,1.30681,1.29216,1.29348,46380
2020-10-14 08:00:00,1.29349,1.30643,1.28625,1.30114,47092
2020-10-15 08:00:00,1.30114,1.30295,1.28900,1.29025,54018
2020-10-16 08:00:00,1.29022,1.29621,1.28562,1.29073,47472
2020-10-19 08:00:00,1.28950,1.30241,1.28929,1.29421,45210
2020-10-20 08:00:00,1.29421,1.29793,1.29105,1.29469,42365
2020-10-21 08:00:00,1.29463,1.31764,1.29373,1.31454,51246
2020-10-22 08:00:00,1.31421,1.31527,1.30700,1.30801,46147
2020-10-23 08:00:00,1.30894,1.31218,1.30187,1.30437,42094
2020-10-26 08:00:00,1.30528,1.30748,1.29925,1.30161,46920
2020-10-27 08:00:00,1.30161,1.30794,1.30003,1.30420,40904
2020-10-28 08:00:00,1.30420,1.30635,1.29160,1.29841,57852
2020-10-29 08:00:00,1.29822,1.30256,1.28804,1.29256,58312
2020-10-30 08:00:00,1.29256,1.29877,1.28987,1.29502,58672
2020-11-02 08:00:00,1.29216,1.29424,1.28535,1.29154,44970
2020-11-03 08:00:00,1.29154,1.30784,1.29073,1.30576,36867
2020-11-04 08:00:00,1.30573,1.31398,1.29137,1.29860,80452
2020-11-05 08:00:00,1.29858,1.31548,1.29294,1.31452,147876
2020-11-06 08:00:00,1.31452,1.31771,1.30923,1.31475,156946
2020-11-09 08:00:00,1.31547,1.32083,1.31182,1.31632,175614
2020-11-10 08:00:00,1.31627,1.32783,1.31544,1.32692,160629
2020-11-11 08:00:00,1.32692,1.33138,1.31909,1.32205,114931
2020-11-12 08:00:00,1.32205,1.32283,1.31060,1.31150,104698
2020-11-13 08:00:00,1.31144,1.31996,1.31089,1.31982,88619
2020-11-16 08:00:00,1.31602,1.32426,1.31594,1.31964,98178
2020-11-17 08:00:00,1.31967,1.32727,1.31789,1.32449,99231
2020-11-18 08:00:00,1.32449,1.33121,1.32433,1.32657,87068
2020-11-19 08:00:00,1.32709,1.32790,1.31956,1.32599,97012
2020-11-20 08:00:00,1.32604,1.32969,1.32448,1.32896,86940
2020-11-23 08:00:00,1.32873,1.33978,1.32636,1.33244,95921
2020-11-24 08:00:00,1.33250,1.33803,1.32925,1.33585,104800
2020-11-25 08:00:00,1.33586,1.33934,1.33038,1.33860,96349
2020-11-26 08:00:00,1.33723,1.33977,1.33217,1.33567,57715
2020-11-27 08:00:00,1.33566,1.33817,1.32877,1.33083,77611
2020-11-30 08:00:00,1.33266,1.33845,1.33052,1.33224,94300
2020-12-01 08:00:00,1.33201,1.34426,1.33155,1.34186,91787
2020-12-02 08:00:00,1.34199,1.34409,1.32873,1.33645,95733
2020-12-03 08:00:00,1.33656,1.35001,1.33473,1.34505,79110
2020-12-04 08:00:00,1.34401,1.35397,1.34109,1.34344,93549
2020-12-07 08:00:00,1.34093,1.34377,1.32243,1.33789,94156
2020-12-08 08:00:00,1.33772,1.33933,1.32894,1.33575,98828
2020-12-09 08:00:00,1.33539,1.34777,1.33485,1.34017,81621
2020-12-10 08:00:00,1.34020,1.34105,1.32454,1.32909,102405
2020-12-11 08:00:00,1.32945,1.33244,1.31338,1.32296,92613
2020-12-14 08:00:00,1.33427,1.34450,1.32899,1.33288,94306
2020-12-15 08:00:00,1.33238,1.34699,1.32801,1.34575,98818
2020-12-16 08:00:00,1.34573,1.35538,1.34342,1.35078,94769
2020-12-17 08:00:00,1.35081,1.36245,1.34951,1.35832,85801
2020-12-18 08:00:00,1.35854,1.35896,1.34712,1.34976,79259
2020-12-21 08:00:00,1.33952,1.34987,1.31877,1.34608,118344
2020-12-22 08:00:00,1.34617,1.34692,1.33039,1.33586,101867
2020-12-23 08:00:00,1.33593,1.35703,1.33519,1.34904,105108
2020-12-24 08:00:00,1.34908,1.36193,1.34876,1.35336,69180
2020-12-28 08:00:00,1.35441,1.35762,1.34293,1.34511,74871
2020-12-29 08:00:00,1.34507,1.35225,1.34392,1.35003,87063
2020-12-30 08:00:00,1.35003,1.36253,1.34902,1.36237,86197
2020-12-31 08:00:00,1.36234,1.36863,1.36040,1.36745,83170
2021-01-04 08:00:00,1.36452,1.37037,1.35418,1.35680,104056
2021-01-05 08:00:00,1.35679,1.36421,1.35540,1.36255,97393
2021-01-06 08:00:00,1.36252,1.36711,1.35385,1.36078,130167
2021-01-07 08:00:00,1.36065,1.36332,1.35326,1.35625,97410
2021-01-08 08:00:00,1.35626,1.36356,1.35380,1.35606,111871
2021-01-11 08:00:00,1.35402,1.35688,1.34508,1.35116,95423
2021-01-12 08:00:00,1.35112,1.36700,1.35040,1.36626,93047
2021-01-13 08:00:00,1.36625,1.37008,1.36117,1.36338,86416
2021-01-14 08:00:00,1.36352,1.37110,1.36160,1.36862,91933
2021-01-15 08:00:00,1.36858,1.36975,1.35724,1.35820,90213
2021-01-18 08:00:00,1.35870,1.35987,1.35196,1.35851,68189
2021-01-19 08:00:00,1.35853,1.36364,1.35730,1.36325,78451
2021-01-20 08:00:00,1.36291,1.37186,1.36225,1.36504,85549
2021-01-21 08:00:00,1.36506,1.37462,1.36476,1.37304,80449
2021-01-22 08:00:00,1.37311,1.37357,1.36356,1.36822,73034
2021-01-25 08:00:00,1.36793,1.37237,1.36487,1.36743,77208
2021-01-26 08:00:00,1.36744,1.37441,1.36099,1.37359,70048
2021-01-27 08:00:00,1.37362,1.37586,1.36590,1.36853,94235
2021-01-28 08:00:00,1.36852,1.37455,1.36301,1.37181,101305
2021-01-29 08:00:00,1.37186,1.37514,1.36573,1.36981,98298
2021-02-01 08:00:00,1.37029,1.37579,1.36564,1.36601,85137
2021-02-02 08:00:00,1.36596,1.37105,1.36113,1.36672,79984
2021-02-03 08:00:00,1.36669,1.36831,1.36193,1.36435,77118
2021-02-04 08:00:00,1.36428,1.36977,1.35647,1.36715,81986
2021-02-05 08:00:00,1.36715,1.37399,1.36603,1.37363,84121
2021-02-08 08:00:00,1.37169,1.37492,1.36802,1.37379,80436
2021-02-09 08:00:00,1.37376,1.38206,1.37312,1.38154,81855
2021-02-10 08:00:00,1.38154,1.38659,1.38024,1.38314,68324
2021-02-11 08:00:00,1.38303,1.38591,1.38005,1.38143,67360
2021-02-12 08:00:00,1.38127,1.38623,1.37756,1.38533,75991
2021-02-15 08:00:00,1.38462,1.39191,1.38462,1.38997,62853
2021-02-16 08:00:00,1.38995,1.39521,1.38694,1.39021,98552
2021-02-17 08:00:00,1.39014,1.39076,1.38296,1.38596,104013
2021-02-18 08:00:00,1.38626,1.39857,1.38396,1.39725,93173
2021-02-19 08:00:00,1.39725,1.40362,1.39511,1.40043,88575
2021-02-22 08:00:00,1.40092,1.40861,1.39803,1.40608,98081
2021-02-23 08:00:00,1.40608,1.41172,1.40543,1.41126,90005
2021-02-24 08:00:00,1.41125,1.42409,1.40821,1.41389,114088
2021-02-25 08:00:00,1.41378,1.41817,1.40001,1.40070,140714
2021-02-26 08:00:00,1.40091,1.40262,1.38877,1.39270,175108
2021-03-01 08:00:00,1.39284,1.39991,1.39038,1.39247,123418
2021-03-02 08:00:00,1.39241,1.39769,1.38588,1.39517,103137
2021-03-03 08:00:00,1.39515,1.40062,1.39207,1.39486,93768
2021-03-04 08:00:00,1.39478,1.40165,1.38799,1.38936,118092
2021-03-05 08:00:00,1.38927,1.39065,1.37778,1.38289,102544
2021-03-08 08:00:00,1.37976,1.38645,1.37976,1.38198,139361
2021-03-09 08:00:00,1.38202,1.39250,1.38014,1.38866,127174
2021-03-10 08:00:00,1.38855,1.39377,1.38449,1.39332,116565
2021-03-11 08:00:00,1.39331,1.39950,1.39170,1.39900,104527
2021-03-12 08:00:00,1.39891,1.40046,1.38628,1.39186,107228
2021-03-15 08:00:00,1.39165,1.39496,1.38530,1.39001,94265
2021-03-16 08:00:00,1.38996,1.39056,1.38088,1.38915,90777
2021-03-17 08:00:00,1.38924,1.39703,1.38505,1.39593,95970
2021-03-18 08:00:00,1.39592,1.40009,1.38969,1.39276,114472
2021-03-19 08:00:00,1.39277,1.39588,1.38304,1.38628,99995
2021-03-22 08:00:00,1.38366,1.38763,1.38171,1.38583,77649
2021-03-23 08:00:00,1.38583,1.38640,1.37401,1.37494,87848
2021-03-24 08:00:00,1.37494,1.37568,1.36736,1.36866,79756
2021-03-25 08:00:00,1.36866,1.37448,1.36698,1.37380,84825
2021-03-26 08:00:00,1.37376,1.38119,1.37324,1.37913,66464
2021-03-29 08:00:00,1.37762,1.38464,1.37548,1.37598,67536
2021-03-30 08:00:00,1.37601,1.37832,1.37057,1.37390,66153
2021-03-31 08:00:00,1.37385,1.38115,1.37156,1.37797,68626
2021-04-01 08:00:00,1.37816,1.38360,1.37458,1.38316,65157
2021-04-02 08:00:00,1.38320,1.38514,1.38096,1.38311,59311
2021-04-05 08:00:00,1.38104,1.39130,1.38104,1.38986,42332
2021-04-06 08:00:00,1.38986,1.39182,1.38016,1.38221,59929
2021-04-07 08:00:00,1.38217,1.38393,1.37238,1.37371,66480
2021-04-08 08:00:00,1.37370,1.37822,1.37184,1.37325,54799
2021-04-09 08:00:00,1.37319,1.37504,1.36696,1.37020,54094
2021-04-12 08:00:00,1.37012,1.37760,1.36684,1.37387,52659
2021-04-13 08:00:00,1.37401,1.37682,1.36934,1.37507,57974
2021-04-14 08:00:00,1.37500,1.38081,1.37459,1.37773,46068
2021-04-15 08:00:00,1.37773,1.38085,1.37611,1.37829,49938
2021-04-16 08:00:00,1.37824,1.38404,1.37157,1.38401,46776
2021-04-19 08:00:00,1.38244,1.39922,1.38092,1.39846,60799
2021-04-20 08:00:00,1.39853,1.40087,1.39257,1.39371,53523
2021-04-21 08:00:00,1.39371,1.39492,1.38856,1.39271,49579
2021-04-22 08:00:00,1.39272,1.39496,1.38238,1.38383,57259
2021-04-23 08:00:00,1.38381,1.38955,1.38304,1.38847,47414
2021-04-26 08:00:00,1.38690,1.39291,1.38642,1.38981,48121
2021-04-27 08:00:00,1.38980,1.39240,1.38588,1.39107,44130
2021-04-28 08:00:00,1.39110,1.39507,1.38611,1.39334,57540
2021-04-29 08:00:00,1.39331,1.39767,1.39267,1.39402,57206
2021-04-30 08:00:00,1.39401,1.39581,1.38027,1.38128,55150
